question_id,exam_id,question_text,question_type,marks,correct_answer
1,1,How does data integrity work in a database system?,MCQ,3,B
2,1,What problem does views solve?,Descriptive,10,Refer to rubric
3,2,Explain the concept of indexing in detail.,True/False,3,True
4,2,What problem does indexing solve?,MCQ,3,C
5,2,What are the advantages of using ACID properties?,Short Answer,3,See answer key
6,3,Explain the concept of relational algebra in detail.,MCQ,3,A
7,3,What are the advantages of using indexing?,MCQ,3,B
8,4,What problem does relational algebra solve?,Descriptive,10,Refer to rubric
9,4,Explain the concept of indexing in detail.,MCQ,10,A
10,4,List two key properties of data warehousing.,True/False,2,False
11,5,Define data integrity and give an example.,MCQ,1,C
12,6,Explain the concept of data integrity in detail.,Short Answer,10,See answer key
13,7,How does transactions work in a database system?,Short Answer,2,See answer key
14,7,Which of the following best describes ERD design?,MCQ,5,B
15,7,Which of the following best describes SQL joins?,True/False,5,True
16,8,How does concurrency control work in a database system?,Short Answer,3,See answer key
17,8,How does normalization work in a database system?,Short Answer,2,See answer key
18,9,Explain the concept of triggers in detail.,True/False,3,False
19,9,What is the primary purpose of SQL joins?,True/False,3,True
20,10,What is the primary purpose of SQL joins?,True/False,10,False
21,10,What are the advantages of using relational algebra?,True/False,10,True
22,10,List two key properties of ACID properties.,Descriptive,3,Refer to rubric
23,11,What is the primary purpose of NoSQL databases?,Descriptive,10,Refer to rubric
24,11,Compare foreign keys with its alternative.,True/False,3,False
25,11,Define NoSQL databases and give an example.,MCQ,3,D
26,12,Define data warehousing and give an example.,Descriptive,2,Refer to rubric
27,12,Compare transactions with its alternative.,Descriptive,10,Refer to rubric
28,13,Define views and give an example.,MCQ,2,D
29,13,When would you use concurrency control in a real-world scenario?,True/False,5,True
30,14,Which of the following best describes foreign keys?,Descriptive,3,Refer to rubric
31,14,How does views work in a database system?,MCQ,2,B
32,14,What is the primary purpose of primary keys?,Short Answer,2,See answer key
33,15,When would you use relational algebra in a real-world scenario?,MCQ,10,B
34,15,When would you use query optimization in a real-world scenario?,Descriptive,2,Refer to rubric
35,15,Explain the concept of relational algebra in detail.,MCQ,2,B
36,16,What is the primary purpose of data warehousing?,Descriptive,2,Refer to rubric
37,16,Which of the following best describes concurrency control?,Descriptive,10,Refer to rubric
38,16,List two key properties of NoSQL databases.,Descriptive,5,Refer to rubric
39,17,When would you use triggers in a real-world scenario?,Descriptive,2,Refer to rubric
40,18,How does triggers work in a database system?,Descriptive,5,Refer to rubric
41,18,How does triggers work in a database system?,True/False,3,False
42,18,Which of the following best describes indexing?,MCQ,2,D
43,19,How does foreign keys work in a database system?,Short Answer,5,See answer key
44,19,What problem does concurrency control solve?,True/False,5,True
45,19,Compare query optimization with its alternative.,Short Answer,10,See answer key
46,20,When would you use normalization in a real-world scenario?,Descriptive,3,Refer to rubric
47,20,Compare data warehousing with its alternative.,Descriptive,10,Refer to rubric
48,20,How does triggers work in a database system?,Descriptive,5,Refer to rubric
